Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U12	qpnp	4.785	6.549	4.785	6.549	4.785	6.549	Top	-87.0
U12	qpnp	7.058	3.750	7.058	3.750	7.058	3.750	Top	90.0
U12	qpnp	3.227	3.476	3.227	3.476	3.227	3.476	Top	93.0
U12	qpnp	0.954	6.274	0.954	6.274	0.954	6.274	Top	-90.0
U12_1	qpnp	7.525	6.900	7.525	6.900	7.525	6.900	Top	100.0
U12_1	qpnp	4.386	3.129	4.386	3.129	4.386	3.129	Top	-60.0
U12_1	qpnp	0.487	3.125	0.487	3.125	0.487	3.125	Top	-80.0
U12_1	qpnp	3.626	6.895	3.626	6.895	3.626	6.895	Top	120.0
U12_1_1	qpnp	7.103	7.890	7.103	7.890	7.103	7.890	Top	93.0
U12_1_1	qpnp	0.909	2.134	0.909	2.134	0.909	2.134	Top	-87.0
U12_1_2	qpnp	4.672	2.180	4.672	2.180	4.672	2.180	Top	-60.0
U12_1_2	qpnp	3.340	7.844	3.340	7.844	3.340	7.844	Top	120.0
U12_2	qpnp	4.886	7.368	4.886	7.368	4.886	7.368	Top	-73.0
U12_2	qpnp	3.125	2.656	3.125	2.656	3.125	2.656	Top	107.0
U12_3	qpnp	5.583	8.460	5.583	8.460	5.583	8.460	Top	155.0
U12_3	qpnp	6.246	1.692	6.246	1.692	6.246	1.692	Top	-30.0
U12_3	qpnp	2.429	1.565	2.429	1.565	2.429	1.565	Top	-25.0
U12_3	qpnp	1.766	8.332	1.766	8.332	1.766	8.332	Top	150.0
U12_3_1	qpnp	5.555	9.132	5.555	9.132	5.555	9.132	Top	-90.0
U12_3_1	qpnp	6.199	1.103	6.199	1.103	6.199	1.103	Top	80.0
U12_3_1	qpnp	2.456	0.892	2.456	0.892	2.456	0.892	Top	90.0
U12_3_1	qpnp	1.813	8.922	1.813	8.922	1.813	8.922	Top	-100.0
U12_3_2	qpnp	5.320	9.098	5.320	9.098	5.320	9.098	Top	-90.0
U12_3_2	qpnp	6.485	1.096	6.485	1.096	6.485	1.096	Top	85.0
U12_3_2	qpnp	2.692	0.926	2.692	0.926	2.692	0.926	Top	90.0
U12_3_2	qpnp	1.527	8.929	1.527	8.929	1.527	8.929	Top	-95.0
U12_3_3	qpnp	4.938	8.962	4.938	8.962	4.938	8.962	Top	-80.0
U12_3_3	qpnp	6.957	1.208	6.957	1.208	6.957	1.208	Top	90.0
U12_3_3	qpnp	3.074	1.062	3.074	1.062	3.074	1.062	Top	100.0
U12_3_3	qpnp	1.055	8.816	1.055	8.816	1.055	8.816	Top	-90.0
U12_3_4	qpnp	4.381	8.720	4.381	8.720	4.381	8.720	Top	-56.0
U12_3_4	qpnp	7.687	1.469	7.687	1.469	7.687	1.469	Top	110.0
U12_3_4	qpnp	3.631	1.304	3.631	1.304	3.631	1.304	Top	124.0
U12_3_4	qpnp	0.325	8.555	0.325	8.555	0.325	8.555	Top	-70.0
U12_4	qpnp	6.999	2.891	6.999	2.891	6.999	2.891	Top	120.0
U12_4	qpnp	1.013	7.133	1.013	7.133	1.013	7.133	Top	-60.0
U13	r3	4.451	6.246	4.337	6.150	4.566	6.342	Top	40.0
U13	r3	7.520	3.969	7.635	4.066	7.405	3.873	Top	-140.0
U13	r3	3.560	3.778	3.675	3.875	3.446	3.682	Top	-140.0
U13	r3	0.492	6.055	0.377	5.959	0.607	6.152	Top	40.0
U13_1	r3	4.459	6.567	4.459	6.417	4.459	6.717	Top	90.0
U13_1	r3	7.398	3.630	7.449	3.771	7.347	3.489	Top	-110.0
U13_1	r3	3.553	3.457	3.553	3.607	3.553	3.307	Top	-90.0
U13_1	r3	0.614	6.394	0.563	6.253	0.665	6.535	Top	70.0
U13_1_1	r3	5.127	6.633	5.193	6.498	5.062	6.768	Top	116.0
U13_1_1	r3	6.899	3.613	6.848	3.754	6.951	3.472	Top	-70.0
U13_1_1	r3	2.885	3.392	2.819	3.526	2.950	3.257	Top	-64.0
U13_1_1	r3	1.113	6.411	1.164	6.270	1.061	6.552	Top	110.0
U13_1_1_1	r3	4.981	6.640	5.067	6.518	4.895	6.763	Top	125.0
U13_1_1_1	r3	6.773	3.619	6.722	3.760	6.824	3.478	Top	-70.0
U13_1_1_1	r3	3.031	3.384	2.945	3.507	3.117	3.261	Top	-55.0
U13_1_1_1	r3	1.239	6.405	1.290	6.264	1.188	6.546	Top	110.0
U13_1_1_1_2	r3	6.830	6.852	6.881	6.711	6.779	6.993	Top	110.0
U13_1_1_1_2	r3	1.182	3.173	1.131	3.314	1.233	3.032	Top	-70.0
U13_1_1_1_3	r3	6.773	6.464	6.675	6.351	6.872	6.577	Top	49.0
U13_1_1_1_3	r3	5.240	3.824	5.337	3.939	5.144	3.709	Top	-130.0
U13_1_1_1_3	r3	1.239	3.560	1.337	3.673	1.140	3.447	Top	-131.0
U13_1_1_1_3	r3	2.772	6.200	2.675	6.085	2.868	6.315	Top	50.0
U13_1_1_1_3_1	r3	6.185	6.250	6.333	6.223	6.037	6.276	Top	170.0
U13_1_1_1_3_1	r3	1.827	3.775	1.679	3.801	1.974	3.749	Top	-10.0
U13_1_1_1_3_1_1	r3	5.651	3.691	5.787	3.754	5.515	3.627	Top	-155.0
U13_1_1_1_3_1_1	r3	2.361	6.334	2.225	6.270	2.497	6.397	Top	25.0
U13_1_1_1_3_2	r3	6.606	7.038	6.746	7.092	6.466	6.984	Top	-159.0
U13_1_1_1_3_2	r3	1.396	2.989	1.256	2.935	1.536	3.043	Top	21.0
U13_1_1_2	r3	5.288	6.125	5.267	5.977	5.309	6.274	Top	82.0
U13_1_1_2	r3	6.704	4.206	6.704	4.356	6.704	4.056	Top	-90.0
U13_1_1_2	r3	2.724	3.899	2.745	4.047	2.703	3.750	Top	-98.0
U13_1_1_2	r3	1.308	5.818	1.308	5.668	1.308	5.968	Top	90.0
U13_1_1_2_1	r3	5.599	5.641	5.746	5.615	5.451	5.667	Top	170.0
U13_1_1_2_1	r3	6.350	4.692	6.203	4.666	6.498	4.718	Top	10.0
U13_1_1_2_1	r3	2.401	4.393	2.251	4.388	2.550	4.398	Top	2.0
U13_1_1_2_1	r3	1.661	5.332	1.809	5.358	1.514	5.306	Top	-170.0
U13_1_1_2_2	r3	6.324	5.820	6.465	5.871	6.183	5.768	Top	-160.0
U13_1_1_2_2	r3	5.590	4.409	5.476	4.311	5.703	4.507	Top	41.0
U13_1_1_2_2	r3	1.688	4.204	1.547	4.153	1.829	4.256	Top	20.0
U13_1_1_2_2	r3	2.422	5.615	2.536	5.714	2.309	5.517	Top	-139.0
U13_1_2	r3	5.269	6.775	5.401	6.703	5.138	6.848	Top	151.0
U13_1_2	r3	6.596	3.178	6.446	3.178	6.746	3.178	Top	0.0
U13_1_2	r3	2.742	3.249	2.611	3.322	2.874	3.176	Top	-29.0
U13_1_2	r3	1.415	6.847	1.565	6.847	1.265	6.847	Top	180.0
U13_2	r3	4.741	6.111	4.764	5.963	4.717	6.259	Top	99.0
U13_2	r3	7.393	4.090	7.479	4.213	7.307	3.967	Top	-125.0
U13_2	r3	3.271	3.914	3.247	4.062	3.294	3.765	Top	-81.0
U13_2	r3	0.619	5.934	0.533	5.811	0.705	6.057	Top	55.0
U13_3	r3	7.779	7.038	7.756	7.186	7.803	6.890	Top	-81.0
U13_3	r3	4.357	2.920	4.432	2.790	4.282	3.050	Top	120.0
U13_3	r3	0.233	2.987	0.256	2.838	0.209	3.135	Top	99.0
U13_3	r3	3.655	7.104	3.580	7.234	3.730	6.974	Top	-60.0
U13_3_1	r3	7.240	8.015	7.188	8.156	7.291	7.874	Top	-70.0
U13_3_1	r3	0.772	2.009	0.824	1.868	0.721	2.150	Top	110.0
U13_3_2	r3	4.603	2.000	4.689	1.877	4.517	2.123	Top	125.0
U13_3_2	r3	3.409	8.024	3.323	8.147	3.495	7.901	Top	-55.0
U13_3_2_1	r3	5.273	3.173	5.421	3.199	5.125	3.146	Top	-170.0
U13_3_2_1	r3	2.739	6.852	2.591	6.826	2.887	6.878	Top	10.0
U13_4	r3	7.613	6.552	7.517	6.667	7.710	6.437	Top	-50.0
U13_4	r3	4.365	3.555	4.440	3.425	4.290	3.685	Top	120.0
U13_4	r3	0.399	3.473	0.495	3.358	0.302	3.588	Top	130.0
U13_4	r3	3.647	6.469	3.572	6.599	3.722	6.339	Top	-60.0
U13_4_1	r3	7.353	7.659	7.256	7.774	7.449	7.544	Top	-50.0
U13_4_1	r3	0.659	2.365	0.755	2.250	0.563	2.480	Top	130.0
U13_4_2	r3	7.366	7.341	7.269	7.226	7.462	7.456	Top	50.0
U13_4_2	r3	4.641	2.700	4.590	2.559	4.693	2.841	Top	70.0
U13_4_2	r3	0.646	2.684	0.743	2.798	0.550	2.569	Top	-130.0
U13_4_2	r3	3.371	7.324	3.422	7.465	3.319	7.183	Top	-110.0
U13_4_2_1	r3	5.146	2.811	5.252	2.917	5.040	2.704	Top	-135.0
U13_4_2_1	r3	2.866	7.214	2.759	7.108	2.972	7.320	Top	45.0
U13_4_2_1_1	r3	5.265	3.429	5.265	3.279	5.265	3.579	Top	90.0
U13_4_2_1_1	r3	2.747	6.596	2.747	6.746	2.747	6.446	Top	-90.0
U13_4_2_2	r3	6.709	7.551	6.673	7.405	6.745	7.696	Top	76.0
U13_4_2_2	r3	1.303	2.474	1.339	2.619	1.266	2.328	Top	-104.0
U13_4_2_2_1	r3	6.706	6.819	6.670	6.964	6.742	6.673	Top	-76.0
U13_4_2_2_1	r3	1.306	3.206	1.342	3.060	1.270	3.351	Top	104.0
U13_4_2_3	r3	7.337	6.926	7.337	7.076	7.337	6.776	Top	-90.0
U13_4_2_3	r3	0.674	3.098	0.674	2.948	0.674	3.248	Top	90.0
